Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target
0.2,0.15,0.2,0.1,0.05,0.2,0.1,9.494700000000002,0.3335,2600.6000000000004,Nb-Ta-V-Cr-Mo-Ti-W,410.0965215125028,0.1414213562373095
0.2,0.15,0.2,0.1,0.15,0.15,0.05,9.3349,0.3345,2608.4,Nb-Ta-V-Cr-Mo-Ti-W,470.9541270043378,0.1224744871391589
0.2,0.15,0.2,0.1,0.25,0.1,0.0,9.1751,0.3355,2616.2,Nb-Ta-V-Cr-Mo-Ti,530.6906915294544,0.2
0.2,0.15,0.2,0.15,0.15,0.1,0.05,9.4671,0.329,2620.35,Nb-Ta-V-Cr-Mo-Ti-W,607.477379527228,0.1414213562373095
0.2,0.15,0.2,0.15,0.2,0.1,0.0,9.0186,0.3305,2580.4,Nb-Ta-V-Cr-Mo-Ti,579.3947284074583,0.187082869338697
0.2,0.15,0.2,0.2,0.1,0.1,0.05,9.3106,0.324,2584.55,Nb-Ta-V-Cr-Mo-Ti-W,636.1851598455515,0.1732050807568877
0.2,0.15,0.25,0.05,0.25,0.1,0.0,9.1231,0.3435,2616.35,Nb-Ta-V-Cr-Mo-Ti,439.97489644819154,0.1957890020745122
0.2,0.15,0.25,0.1,0.15,0.1,0.05,9.4151,0.3369999999999999,2620.5,Nb-Ta-V-Cr-Mo-Ti-W,520.5461477119005,0.1154700538379251
0.2,0.15,0.25,0.1,0.2,0.1,0.0,8.9666,0.3385,2580.55,Nb-Ta-V-Cr-Mo-Ti,495.3140865496415,0.1683250823060346
0.2,0.15,0.25,0.15,0.0,0.15,0.1,9.4184,0.331,2576.9,Nb-Ta-V-Cr-Ti-W,488.22853293636825,0.1683250823060346
0.2,0.15,0.25,0.15,0.1,0.1,0.05,9.2586,0.332,2584.7,Nb-Ta-V-Cr-Mo-Ti-W,555.8234096342993,0.135400640077266
0.2,0.15,0.25,0.15,0.2,0.05,0.0,9.0988,0.333,2592.5,Nb-Ta-V-Cr-Mo-Ti,621.3496191190297,0.1957890020745122
0.2,0.15,0.25,0.2,0.1,0.05,0.05,9.3908,0.3265,2596.65,Nb-Ta-V-Cr-Mo-Ti-W,673.4186015575774,0.1825741858350554
0.2,0.15,0.3,0.05,0.15,0.1,0.05,9.3631,0.345,2620.65,Nb-Ta-V-Cr-Mo-Ti-W,435.6787419388138,0.1290994448735805
0.2,0.15,0.3,0.05,0.2,0.1,0.0,8.9146,0.3465,2580.7,Nb-Ta-V-Cr-Mo-Ti,413.4409863151912,0.1779513042005218
0.2,0.15,0.3,0.1,0.0,0.15,0.1,9.3664,0.339,2577.05,Nb-Ta-V-Cr-Ti-W,416.09407218429817,0.1632993161855452
0.2,0.15,0.3,0.1,0.1,0.1,0.05,9.2066,0.34,2584.85,Nb-Ta-V-Cr-Mo-Ti-W,477.2161233337563,0.1290994448735805
0.2,0.15,0.3,0.1,0.15,0.05,0.05,9.4953,0.3395,2632.6,Nb-Ta-V-Cr-Mo-Ti-W,564.4974704433265,0.1471960144387974
0.2,0.15,0.3,0.1,0.2,0.05,0.0,9.0468,0.341,2592.65,Nb-Ta-V-Cr-Mo-Ti,536.6370669663055,0.1914854215512676
0.2,0.15,0.3,0.15,0.0,0.1,0.1,9.4986,0.3335,2589.0,Nb-Ta-V-Cr-Ti-W,526.277517968261,0.1779513042005218
0.2,0.15,0.3,0.15,0.1,0.05,0.05,9.3388,0.3345,2596.8,Nb-Ta-V-Cr-Mo-Ti-W,592.609494929094,0.1632993161855452
0.2,0.15,0.35,0.05,0.1,0.1,0.05,9.1546,0.3480000000000001,2585.0,Nb-Ta-V-Cr-Mo-Ti-W,400.9240769792229,0.1581138830084189
0.2,0.15,0.35,0.05,0.15,0.05,0.05,9.4433,0.3475,2632.75,Nb-Ta-V-Cr-Mo-Ti-W,478.80970010799166,0.1732050807568877
0.2,0.15,0.35,0.1,0.0,0.1,0.1,9.4466,0.3415,2589.15,Nb-Ta-V-Cr-Ti-W,453.012998910676,0.187082869338697
0.2,0.15,0.35,0.1,0.1,0.05,0.05,9.2868,0.3425000000000001,2596.95,Nb-Ta-V-Cr-Mo-Ti-W,513.3688079158851,0.1732050807568877
0.2,0.2,0.15,0.1,0.2,0.15,0.0,9.415400000000002,0.3345,2623.8,Nb-Ta-V-Cr-Mo-Ti,448.0626519823896,0.1732050807568877
0.2,0.2,0.15,0.15,0.05,0.2,0.05,9.4187,0.3285,2580.2,Nb-Ta-V-Cr-Mo-Ti-W,429.58065329427296,0.1732050807568877
0.2,0.2,0.15,0.15,0.15,0.15,0.0,9.2589,0.3295,2588.0,Nb-Ta-V-Cr-Mo-Ti,499.1390718014654,0.1732050807568877
0.2,0.2,0.15,0.2,0.15,0.1,0.0,9.391100000000002,0.324,2599.95,Nb-Ta-V-Cr-Mo-Ti,632.4002504632881,0.2
0.2,0.2,0.2,0.1,0.15,0.15,0.0,9.2069,0.3375,2588.15,Nb-Ta-V-Cr-Mo-Ti,419.8673335707516,0.135400640077266
0.2,0.2,0.2,0.1,0.2,0.1,0.0,9.4956,0.337,2635.9,Nb-Ta-V-Cr-Mo-Ti,505.2240733395996,0.1527525231651947
0.2,0.2,0.2,0.15,0.05,0.15,0.05,9.4989,0.331,2592.3,Nb-Ta-V-Cr-Mo-Ti-W,479.2188007831908,0.135400640077266
0.2,0.2,0.2,0.15,0.15,0.1,0.0,9.339100000000002,0.332,2600.1,Nb-Ta-V-Cr-Mo-Ti,549.5926945368323,0.1527525231651946
0.2,0.2,0.2,0.2,0.15,0.05,0.0,9.4713,0.3265,2612.05,Nb-Ta-V-Cr-Mo-Ti,678.6452104295687,0.1957890020745122
0.2,0.2,0.25,0.05,0.2,0.1,0.0,9.4436,0.345,2636.05,Nb-Ta-V-Cr-Mo-Ti,418.17953026115305,0.1471960144387974
0.2,0.2,0.25,0.1,0.05,0.15,0.05,9.4469,0.339,2592.45,Nb-Ta-V-Cr-Mo-Ti-W,405.3197644891756,0.1080123449734643
0.2,0.2,0.25,0.1,0.15,0.1,0.0,9.2871,0.34,2600.25,Nb-Ta-V-Cr-Mo-Ti,468.7087005346178,0.1290994448735805
0.2,0.2,0.25,0.15,0.15,0.05,0.0,9.4193,0.3345,2612.2,Nb-Ta-V-Cr-Mo-Ti,594.911332985551,0.1632993161855452
0.2,0.2,0.25,0.2,0.1,0.05,0.0,9.2628,0.3295,2576.4,Nb-Ta-V-Cr-Mo-Ti,609.807439405967,0.1914854215512676
0.2,0.2,0.3,0.1,0.15,0.05,0.0,9.3673,0.3425,2612.35,Nb-Ta-V-Cr-Mo-Ti,512.8994865264665,0.1581138830084189
0.2,0.2,0.3,0.15,0.1,0.05,0.0,9.2108,0.3375,2576.55,Nb-Ta-V-Cr-Mo-Ti,533.8764471757717,0.1732050807568877
0.2,0.2,0.3,0.15,0.15,0.0,0.0,9.4995,0.3369999999999999,2624.3,Nb-Ta-V-Cr-Mo,634.1211723567399,0.1999999999999999
0.2,0.2,0.35,0.05,0.15,0.05,0.0,9.3153,0.3505,2612.5,Nb-Ta-V-Cr-Mo-Ti,433.1688432698915,0.1825741858350553
0.2,0.2,0.35,0.1,0.1,0.05,0.0,9.1588,0.3455,2576.7,Nb-Ta-V-Cr-Mo-Ti,459.94051366609807,0.1825741858350553
0.2,0.25,0.25,0.15,0.05,0.1,0.0,9.4511,0.3365,2584.15,Nb-Ta-V-Cr-Mo-Ti,459.48145179458527,0.1581138830084189
0.2,0.25,0.35,0.1,0.05,0.05,0.0,9.4793,0.347,2596.4,Nb-Ta-V-Cr-Mo-Ti,428.6702502315977,0.1914854215512676
0.25,0.05,0.2,0.1,0.15,0.15,0.1,9.0569,0.3345,2601.65,Nb-Ta-V-Cr-Mo-Ti-W,493.5717855051712,0.1914854215512676
0.25,0.05,0.25,0.05,0.1,0.15,0.15,9.4534,0.341,2641.75,Nb-Ta-V-Cr-Mo-Ti-W,426.0367750954255,0.187082869338697
0.25,0.05,0.25,0.05,0.15,0.15,0.1,9.004900000000001,0.3425,2601.8,Nb-Ta-V-Cr-Mo-Ti-W,406.1125392980604,0.187082869338697
0.25,0.05,0.25,0.05,0.2,0.1,0.1,9.2936,0.3419999999999999,2649.55,Nb-Ta-V-Cr-Mo-Ti-W,475.803653134204,0.2
0.25,0.05,0.25,0.1,0.05,0.15,0.15,9.2969,0.336,2605.95,Nb-Ta-V-Cr-Mo-Ti-W,483.3968705505767,0.2
0.25,0.05,0.25,0.1,0.15,0.1,0.1,9.1371,0.337,2613.75,Nb-Ta-V-Cr-Mo-Ti-W,540.270034088827,0.187082869338697
0.25,0.05,0.25,0.15,0.1,0.1,0.1,8.9806,0.332,2577.95,Nb-Ta-V-Cr-Mo-Ti-W,579.6002925809578,0.2
0.25,0.05,0.3,0.05,0.15,0.1,0.1,9.0851,0.345,2613.9,Nb-Ta-V-Cr-Mo-Ti-W,451.95918529866185,0.1957890020745121
0.25,0.05,0.3,0.1,0.1,0.1,0.1,8.9286,0.34,2578.1,Nb-Ta-V-Cr-Mo-Ti-W,497.9555291984453,0.1957890020745122
0.25,0.1,0.15,0.1,0.1,0.2,0.1,9.2972,0.3335,2609.25,Nb-Ta-V-Cr-Mo-Ti-W,416.0541669498844,0.1779513042005218
0.25,0.1,0.15,0.1,0.2,0.15,0.05,9.1374,0.3345,2617.05,Nb-Ta-V-Cr-Mo-Ti-W,474.58976782570033,0.1914854215512676
0.25,0.1,0.15,0.15,0.1,0.15,0.1,9.4294,0.328,2621.2000000000003,Nb-Ta-V-Cr-Mo-Ti-W,556.4785898870372,0.1779513042005218
0.25,0.1,0.15,0.15,0.15,0.15,0.05,8.9809,0.3295,2581.25,Nb-Ta-V-Cr-Mo-Ti-W,530.8709722906807,0.1914854215512676
0.25,0.1,0.2,0.05,0.25,0.1,0.05,9.3741,0.3419999999999999,2664.95,Nb-Ta-V-Cr-Mo-Ti-W,454.6943509666679,0.2
0.25,0.1,0.2,0.1,0.1,0.15,0.1,9.377400000000002,0.336,2621.35,Nb-Ta-V-Cr-Mo-Ti-W,470.2578746233692,0.1414213562373095
0.25,0.1,0.2,0.1,0.15,0.15,0.05,8.9289,0.3375,2581.4,Nb-Ta-V-Cr-Mo-Ti-W,447.5629927174288,0.1581138830084189
0.25,0.1,0.2,0.1,0.2,0.1,0.05,9.2176,0.337,2629.15,Nb-Ta-V-Cr-Mo-Ti-W,529.905125500966,0.1732050807568877
0.25,0.1,0.2,0.15,0.05,0.15,0.1,9.2209,0.331,2585.55,Nb-Ta-V-Cr-Mo-Ti-W,512.5651176987049,0.1732050807568877
0.25,0.1,0.2,0.15,0.15,0.1,0.05,9.0611,0.332,2593.35,Nb-Ta-V-Cr-Mo-Ti-W,578.8445597432055,0.1732050807568877
0.25,0.1,0.2,0.15,0.2,0.05,0.05,9.349800000000002,0.3315,2641.1000000000004,Nb-Ta-V-Cr-Mo-Ti-W,673.2751151902357,0.2
0.25,0.1,0.2,0.2,0.05,0.1,0.1,9.3531,0.3255,2597.5,Nb-Ta-V-Cr-Mo-Ti-W,636.1255474562291,0.2
0.25,0.1,0.25,0.05,0.2,0.1,0.05,9.1656,0.345,2629.3,Nb-Ta-V-Cr-Mo-Ti-W,438.8806210542013,0.1683250823060346
0.25,0.1,0.25,0.1,0.05,0.15,0.1,9.1689,0.3389999999999999,2585.7,Nb-Ta-V-Cr-Mo-Ti-W,434.7403820548505,0.1527525231651946
0.25,0.1,0.25,0.1,0.1,0.1,0.1,9.4576,0.3385,2633.45,Nb-Ta-V-Cr-Mo-Ti-W,519.8803916711325,0.135400640077266
0.25,0.1,0.25,0.1,0.15,0.1,0.05,9.0091,0.34,2593.5,Nb-Ta-V-Cr-Mo-Ti-W,494.4011532937821,0.1527525231651946
0.25,0.1,0.25,0.1,0.2,0.05,0.05,9.2978,0.3395,2641.25,Nb-Ta-V-Cr-Mo-Ti-W,579.6224221659139,0.1825741858350553
0.25,0.1,0.25,0.15,0.05,0.1,0.1,9.3011,0.3335,2597.65,Nb-Ta-V-Cr-Mo-Ti-W,555.3256852758976,0.1683250823060346
0.25,0.1,0.25,0.15,0.15,0.05,0.05,9.1413,0.3345,2605.45,Nb-Ta-V-Cr-Mo-Ti-W,620.813206662475,0.1825741858350553
0.25,0.1,0.3,0.05,0.1,0.1,0.1,9.4056,0.3465,2633.6,Nb-Ta-V-Cr-Mo-Ti-W,434.70461882222935,0.1471960144387974
0.25,0.1,0.3,0.05,0.15,0.1,0.05,8.9571,0.348,2593.65,Nb-Ta-V-Cr-Mo-Ti-W,412.2510242249418,0.1632993161855452
0.25,0.1,0.3,0.05,0.2,0.05,0.05,9.2458,0.3475,2641.4,Nb-Ta-V-Cr-Mo-Ti-W,487.76288750009365,0.1914854215512676
0.25,0.1,0.3,0.1,0.05,0.1,0.1,9.2491,0.3415,2597.8,Nb-Ta-V-Cr-Mo-Ti-W,476.358897428321,0.1632993161855452
0.25,0.1,0.3,0.1,0.15,0.05,0.05,9.0893,0.3425,2605.6000000000004,Nb-Ta-V-Cr-Mo-Ti-W,535.7204915617605,0.1779513042005218
0.25,0.1,0.3,0.15,0.05,0.05,0.1,9.3813,0.336,2609.75,Nb-Ta-V-Cr-Mo-Ti-W,592.066083828642,0.1914854215512676
0.25,0.1,0.35,0.05,0.1,0.05,0.1,9.4858,0.349,2645.7,Nb-Ta-V-Cr-Mo-Ti-W,477.8615985091949,0.187082869338697
0.25,0.1,0.35,0.05,0.15,0.05,0.05,9.0373,0.3505,2605.75,Nb-Ta-V-Cr-Mo-Ti-W,452.702015568917,0.1999999999999999
0.25,0.1,0.35,0.1,0.05,0.05,0.1,9.3293,0.344,2609.9,Nb-Ta-V-Cr-Mo-Ti-W,512.448127619179,0.2
0.25,0.15,0.15,0.1,0.15,0.15,0.05,9.4579,0.336,2636.75,Nb-Ta-V-Cr-Mo-Ti-W,446.9147575854038,0.1414213562373095
