Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target
0.2,0.05,0.3,0.1,0.1,0.1,0.15,9.4626,0.334,2625.35,Nb-Ta-V-Cr-Mo-Ti-W,564.2756161110804,0.2
0.2,0.05,0.3,0.1,0.15,0.1,0.1,9.0141,0.3355,2585.4,Nb-Ta-V-Cr-Mo-Ti-W,537.844465542336,0.2
0.2,0.1,0.15,0.1,0.15,0.2,0.1,9.3827,0.329,2616.55,Nb-Ta-V-Cr-Mo-Ti-W,461.9174279380351,0.18257418583505539
0.2,0.1,0.15,0.15,0.1,0.2,0.1,9.2262,0.324,2580.75,Nb-Ta-V-Cr-Mo-Ti-W,519.2377355027863,0.1957890020745122
0.2,0.1,0.2,0.0,0.2,0.2,0.1,9.4872,0.342,2652.5,Nb-Ta-V-Mo-Ti-W,282.8499729438947,0.19148542155126763
0.2,0.1,0.2,0.05,0.15,0.2,0.1,9.3307,0.337,2616.7,Nb-Ta-V-Cr-Mo-Ti-W,373.0971966773134,0.16329931618554522
0.2,0.1,0.2,0.05,0.2,0.2,0.05,8.882200000000001,0.3385,2576.75,Nb-Ta-V-Cr-Mo-Ti-W,356.0957349088672,0.19148542155126763
0.2,0.1,0.2,0.1,0.1,0.2,0.1,9.1742,0.332,2580.9,Nb-Ta-V-Cr-Mo-Ti-W,436.8999370951837,0.16329931618554522
0.2,0.1,0.2,0.1,0.15,0.15,0.1,9.4629,0.3315,2628.65,Nb-Ta-V-Cr-Mo-Ti-W,516.7224159680802,0.14719601443879746
0.2,0.1,0.2,0.1,0.2,0.15,0.05,9.014400000000002,0.333,2588.7000000000003,Nb-Ta-V-Cr-Mo-Ti-W,493.90586253954007,0.17795130420052185
0.2,0.1,0.2,0.15,0.1,0.15,0.1,9.3064,0.3265,2592.85,Nb-Ta-V-Cr-Mo-Ti-W,567.040809636366,0.1632993161855452
0.2,0.1,0.2,0.15,0.2,0.1,0.05,9.1466,0.3275,2600.65,Nb-Ta-V-Cr-Mo-Ti-W,630.2050603688969,0.19148542155126763
0.2,0.1,0.25,0.0,0.15,0.2,0.1,9.2787,0.345,2616.8500000000004,Nb-Ta-V-Mo-Ti-W,287.303711219198,0.17320508075688773
0.2,0.1,0.25,0.0,0.2,0.2,0.05,8.830200000000001,0.3465,2576.9,Nb-Ta-V-Mo-Ti-W,273.53776232467146,0.2
0.2,0.1,0.25,0.05,0.1,0.2,0.1,9.1222,0.34,2581.05,Nb-Ta-V-Cr-Mo-Ti-W,356.96460875495154,0.15811388300841897
0.2,0.1,0.25,0.05,0.15,0.15,0.1,9.410900000000002,0.3395,2628.8,Nb-Ta-V-Cr-Mo-Ti-W,426.52850109239535,0.1414213562373095
0.2,0.1,0.25,0.05,0.2,0.15,0.05,8.9624,0.3409999999999999,2588.85,Nb-Ta-V-Cr-Mo-Ti-W,406.7710349486444,0.17320508075688773
0.2,0.1,0.25,0.05,0.25,0.1,0.05,9.2511,0.3405,2636.6,Nb-Ta-V-Cr-Mo-Ti-W,476.27385514051,0.2
0.2,0.1,0.25,0.1,0.0,0.2,0.15,9.4142,0.3335,2585.2,Nb-Ta-V-Cr-Ti-W,424.8327723181761,0.2
0.2,0.1,0.25,0.1,0.1,0.15,0.1,9.2544,0.3345,2593.0,Nb-Ta-V-Cr-Mo-Ti-W,483.5980357756009,0.1414213562373095
0.2,0.1,0.25,0.1,0.2,0.1,0.05,9.0946,0.3355,2600.8,Nb-Ta-V-Cr-Mo-Ti-W,540.4672087357377,0.17320508075688776
0.2,0.1,0.25,0.15,0.1,0.1,0.1,9.3866,0.329,2604.95,Nb-Ta-V-Cr-Mo-Ti-W,608.7749198161847,0.15811388300841897
0.2,0.1,0.25,0.15,0.2,0.05,0.05,9.2268,0.33,2612.75,Nb-Ta-V-Cr-Mo-Ti-W,670.2677631985076,0.2
0.2,0.1,0.3,0.0,0.1,0.2,0.1,9.0702,0.348,2581.2,Nb-Ta-V-Mo-Ti-W,280.1778050297649,0.18257418583505536
0.2,0.1,0.3,0.0,0.15,0.15,0.1,9.3589,0.3475,2628.9500000000003,Nb-Ta-V-Mo-Ti-W,338.94212644391325,0.16832508230603463
0.2,0.1,0.3,0.0,0.2,0.15,0.05,8.910400000000001,0.349,2589.0,Nb-Ta-V-Mo-Ti-W,322.3959723259845,0.19578900207451216
0.2,0.1,0.3,0.05,0.1,0.15,0.1,9.2024,0.3425,2593.15,Nb-Ta-V-Cr-Mo-Ti-W,402.27760360575047,0.15275252316519466
